"Rank","CryptoCurrency","Market Cap.","Price","Circulating Supply","Volume (24h)","Change (24h)","DateTime"
1,"Bitcoin","$585,893,150,233","$30,729.00","19,055,481","$28,117,331,998","-4.49 %",2022-06-01 16:14:12
2,"Ethereum","$226,758,477,693","$1,873.89","121,009,563","$16,579,814,631","-6.08 %",2022-06-01 16:14:12
3,"Tether","$72,651,538,891","$1.00","72,538,449,554","$49,144,774,739","0.02 %",2022-06-01 16:14:12
4,"USD Coin","$54,194,070,678","$1.00","53,994,207,205","$5,138,327,089","0.19 %",2022-06-01 16:14:12
5,"BNB","$51,279,517,154","$304.99","168,137,036","$1,713,954,419","-5.37 %",2022-06-01 16:14:12
6,"XRP","$19,721,488,556","$0.41","48,343,101,197","$1,306,423,300","-2.50 %",2022-06-01 16:14:12
7,"Cardano","$19,127,309,765","$0.57","33,820,262,544","$1,363,729,500","-10.61 %",2022-06-01 16:14:12
8,"Binance USD","$18,262,727,582","$1.00","18,206,320,284","$5,786,477,482","-0.12 %",2022-06-01 16:14:12
9,"Solana","$14,616,613,089","$42.99","339,963,437","$1,291,327,840","-7.27 %",2022-06-01 16:14:12
10,"Polkadot","$11,189,893,773","$9.96","1,117,792,308","$414,638,942","-4.24 %",2022-06-01 16:14:12
11,"Dogecoin","$11,203,323,984","$0.08","132,670,764,300","$699,807,866","-1.94 %",2022-06-01 16:14:12
12,"Wrapped Bitcoin","$8,419,859,834","$30,763.00","273,702","$308,119,808","-4.20 %",2022-06-01 16:14:12
13,"TRON","$8,240,548,623","$0.09","93,226,807,963","$1,813,498,431","8.82 %",2022-06-01 16:14:12
15,"Avalanche","$6,732,960,562","$24.82","271,404,897","$579,470,205","-8.38 %",2022-06-01 16:14:12
16,"Dai","$6,400,680,562","$1.00","6,386,583,326","$239,380,272","0.01 %",2022-06-01 16:14:12
17,"Shiba Inu","$6,205,454,321","$0.00","549,146,987,315,510","$343,194,424","-4.94 %",2022-06-01 16:14:12
18,"Cronos","$4,634,402,624","$0.18","25,263,013,692","$26,340,966","-4.02 %",2022-06-01 16:14:12
19,"Litecoin","$4,639,910,968","$65.80","70,412,071","$593,642,378","-4.57 %",2022-06-01 16:14:12
20,"LEO Token","$4,642,123,834","$4.96","935,788,829","$3,249,257","-6.98 %",2022-06-01 16:14:12
21,"Polygon","$4,262,881,492","$0.62","6,872,890,164","$380,036,897","-7.85 %",2022-06-01 16:14:12
22,"NEAR Protocol","$3,947,571,805","$5.62","702,306,683","$405,518,210","-7.56 %",2022-06-01 16:14:12
23,"FTX Token","$3,751,777,096","$27.58","136,045,993","$71,339,117","-6.11 %",2022-06-01 16:14:12
24,"Bitcoin Cash","$3,728,058,735","$194.69","19,079,044","$951,731,574","-2.04 %",2022-06-01 16:14:12
25,"Monero","$3,578,585,550","$196.80","18,128,971","$175,169,479","0.39 %",2022-06-01 16:14:12
26,"Stellar","$3,498,954,846","$0.14","24,926,765,928","$222,504,296","-5.45 %",2022-06-01 16:14:12
27,"Chainlink","$3,354,610,035","$7.18","467,009,550","$398,042,477","-5.45 %",2022-06-01 16:14:12
29,"OKB","$3,072,906,191","$11.80","260,143,734","$5,436,011","-4.21 %",2022-06-01 16:14:12
30,"Ethereum Classic","$3,082,705,856","$22.83","135,063,968","$314,861,805","-4.37 %",2022-06-01 16:14:12
31,"Cosmos Hub","$2,901,471,319","$9.91","292,586,164","$245,943,933","-5.99 %",2022-06-01 16:14:12
32,"Algorand","$2,738,903,386","$0.40","6,867,169,637","$151,213,982","-3.42 %",2022-06-01 16:14:12
33,"Flow","$2,663,041,340","$2.57","1,036,200,000","$45,378,486","-6.98 %",2022-06-01 16:14:12
34,"Uniswap","$2,469,400,468","$5.40","456,489,583","$129,056,314","-6.90 %",2022-06-01 16:14:12
35,"VeChain","$2,135,226,933","$0.03","66,760,741,299","$221,204,380","-3.68 %",2022-06-01 16:14:12
36,"Hedera","$1,964,107,928","$0.09","21,084,620,884","$36,711,152","-3.41 %",2022-06-01 16:14:12
38,"Theta Fuel","$1,886,178,774","$0.06","0","$76,597,148","1.89 %",2022-06-01 16:14:12
39,"Internet Computer","$1,854,278,326","$7.92","234,149,117","$93,347,868","-4.02 %",2022-06-01 16:14:12
40,"Tezos","$1,796,262,575","$2.02","888,871,830","$91,170,178","-4.80 %",2022-06-01 16:14:12
41,"Elrond","$1,768,010,505","$78.80","22,437,656","$71,951,992","-5.48 %",2022-06-01 16:14:12
42,"Axie Infinity","$1,744,554,653","$21.78","80,079,319","$368,759,081","-11.29 %",2022-06-01 16:14:12
44,"KuCoin","$1,678,273,915","$17.15","97,984,145","$7,927,983","-2.83 %",2022-06-01 16:14:12
45,"Filecoin","$1,637,349,907","$7.69","212,838,257","$175,887,872","-5.59 %",2022-06-01 16:14:12
46,"Aave","$1,576,595,325","$113.58","13,881,315","$298,637,739","-4.46 %",2022-06-01 16:14:12
47,"Decentraland","$1,514,456,807","$1.01","1,495,342,166","$225,837,537","-7.63 %",2022-06-01 16:14:12
49,"cETH","$1,403,499,882","$37.64","37,288,372","$201","-6.03 %",2022-06-01 16:14:12
50,"EOS","$1,305,553,477","$1.31","996,367,653","$356,498,080","-4.33 %",2022-06-01 16:14:12
51,"Theta Network","$1,269,767,989","$1.27","1,000,000,000","$116,520,480","-5.65 %",2022-06-01 16:14:12
52,"TrueUSD","$1,261,298,094","$1.00","1,260,753,681","$100,918,564","0.03 %",2022-06-01 16:14:12
53,"Klaytn","$1,227,716,620","$0.43","2,842,856,969","$38,852,391","-2.75 %",2022-06-01 16:14:12
55,"cUSDC","$1,176,704,563","$0.02","51,940,296,766","$98","0.15 %",2022-06-01 16:14:12
57,"Zcash","$1,149,096,236","$91.86","12,504,875","$131,336,112","-3.21 %",2022-06-01 16:14:12
58,"Maker","$1,123,714,060","$1,245.34","901,311","$60,613,384","-6.63 %",2022-06-01 16:14:12
59,"Huobi","$1,092,989,952","$7.06","154,885,159","$36,213,387","-1.67 %",2022-06-01 16:14:12
60,"BitTorrent","$2,498,507,941","$0.00","932,497,500,000","$1,038,436","-2.73 %",2022-06-01 16:14:12
60,"The Graph","$1,051,374,710","$0.15","6,929,620,630","$114,874,540","-3.68 %",2022-06-01 16:14:12
62,"Bitcoin SV","$1,011,547,442","$53.02","19,075,070","$81,429,367","-2.75 %",2022-06-01 16:14:12
63,"IOTA","$969,376,978","$0.35","2,779,530,283","$34,159,788","-1.97 %",2022-06-01 16:14:12
64,"Fantom","$969,628,796","$0.38","2,541,152,731","$286,820,168","-7.37 %",2022-06-01 16:14:12
65,"Pax Dollar","$960,025,995","$1.00","956,150,126","$24,618,418","0.17 %",2022-06-01 16:14:12
66,"eCash","$950,574,280","$0.00","19,075,067,173,303","$16,310,745","-2.03 %",2022-06-01 16:14:12
67,"Waves","$941,789,841","$9.42","100,000,000","$2,436,149,944","5.19 %",2022-06-01 16:14:12
68,"Quant","$915,541,193","$68.25","13,413,953","$38,508,629","-6.04 %",2022-06-01 16:14:12
69,"Helium","$904,428,534","$8.95","100,539,362","$19,157,580","-3.42 %",2022-06-01 16:14:12
70,"THORChain","$878,478,636","$2.92","300,755,175","$121,259,321","-12.55 %",2022-06-01 16:14:12
73,"GateToken","$827,088,464","$5.45","151,758,802","$3,100,211","-3.87 %",2022-06-01 16:14:12
74,"NEO","$816,849,878","$11.58","70,530,000","$144,717,394","-0.20 %",2022-06-01 16:14:12
75,"Terra Luna Classic","$768,841,921","$0.00","0","$262,411,002","-17.30 %",2022-06-01 16:14:12
76,"Zilliqa","$755,708,146","$0.05","14,398,876,651","$207,938,173","-4.13 %",2022-06-01 16:14:12
77,"Kusama","$709,959,242","$79.06","8,980,098","$164,849,061","2.28 %",2022-06-01 16:14:12
78,"PancakeSwap","$727,341,691","$4.38","166,030,916","$68,804,459","-6.61 %",2022-06-01 16:14:12
79,"cDAI","$728,509,210","$0.02","33,023,717,927","$0","0.24 %",2022-06-01 16:14:12
80,"Arweave","$702,371,961","$14.02","50,108,502","$24,011,487","-7.90 %",2022-06-01 16:14:12
81,"NEXO","$700,263,298","$1.25","560,000,010","$4,459,781","-6.14 %",2022-06-01 16:14:12
84,"Dash","$681,411,841","$62.95","10,754,475","$126,149,904","-0.01 %",2022-06-01 16:14:12
85,"Synthetix Network Token","$668,556,384","$3.06","218,221,255","$86,373,428","-7.35 %",2022-06-01 16:14:12
86,"Loopring","$666,172,412","$0.53","1,245,991,469","$186,110,713","-4.32 %",2022-06-01 16:14:12
87,"Chiliz","$646,147,601","$0.12","5,344,064,580","$125,363,431","-1.97 %",2022-06-01 16:14:12
89,"Celo","$619,828,643","$1.39","445,012,828","$63,703,840","-5.93 %",2022-06-01 16:14:12
91,"Enjin Coin","$616,629,571","$0.66","934,340,660","$87,492,556","-6.19 %",2022-06-01 16:14:12
92,"PAX Gold","$615,061,558","$1,843.28","333,601","$11,865,257","-0.16 %",2022-06-01 16:14:12
94,"Basic Attention","$597,807,496","$0.40","1,498,150,386","$90,462,316","-1.97 %",2022-06-01 16:14:12
95,"Stacks","$591,180,953","$0.56","1,052,561,462","$16,392,094","-1.60 %",2022-06-01 16:14:12
97,"Amp","$581,228,774","$0.01","48,013,928,909","$3,617,558","-2.29 %",2022-06-01 16:14:12
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2022-06-01 16:14:12
99,"Kava","$538,630,444","$2.68","201,355,286","$150,165,691","-8.86 %",2022-06-01 16:14:12
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2022-06-01 16:14:12
